1	A One Solar Solutions	Madurai	Tamil Nadu	Ashok Kumar/ Vinodhini	9488335111	solar.arenterprises@gmail.com	33ABJFA4888L1ZX	A One Solar Solutions 	No. 104A, Sekar Complex, Vilangudi,, Madurai	625018
2	A.M Electronics	Thiruvalla 	Kerala	Mikku Kurien, 	9447015971	amsonups@gmail.com	32AAXFA7618K1ZZ	Mr. Mikku Kurien ,A.M Electronics , 	Amson Building,Niranam PO, Thiruvalla,  Kerala	689621
3	A.M.M FOUNDATION	Chennai 	Tamil Nadu	Thirumalai : 	9663844980		33AAATA0509N2Z0	A.M.M Foundation	No.3, Sriram Nagar, North Street, Alwarpet, Chennai	600018
4	A.P.ORGANICS LTD	Sangrur	Punjab	IQBAL SINGH  	9781241232	iqbal.aps@gmail.com	03AACCA4673L1ZO	Village Manwala, 	SARON ROAD,DHURI, DIST-SANGRUR	148024
5	A2Z RENEWABLES 	Ernakulam	Kerala	Mr. James	9567240000	james.joseph@a2zrenewables.com	32BAHPM9507N1ZB	Mr. James, No. 66/2680, 1st floor, Krishna Bhat Towers	Pullepay Road, Pullepay P.O., Ernakulam , Kerala	682035
6	Ablers Service Pvt Ltd	Gurugram	Haryana	Varun	8750685725	ablersservices@gmail.com	06AAMCA5262F1ZQ	Ablers Service Pvt Ltd ,  No: 815A-8th Floor,	 Unitech Arcadia, Sec 49, Gurugram- , Haryana	122018
7	Accurate Powertech India Pvt ltd	Pune	Maharashtra	Santosh -	9011021370;  9764440669	sales@accuratesolar.in	27AAICA4815C1ZZ	Accurate Powertech India Pvt ltd ,  Rohan Tower,4,5,6,Opp.Mega Mart,, 	Mumbai Pune Road,, Dapodi, Pune –, Maharashtra	411012
8	Acme Pumps & Power Projects Ltd	Lucknow	Uttarpradhesh	Mr. Amarnath	9415110231	acmepumps@gmail.com	09AACCA2947D1ZW	No.23-D G.B. Marg (Latouche Road), Opp. PNB,	 Lucknow - , Uttar Pradesh	226018
9	Adithya Aqua Tech Solutions	Coimbatore	Tamil Nadu	Nithya 	9095694444, 9095694777	purchase@adithyaaqua.com; accounts@adithyaaqua.com	33AJXPA8576B1Z1	"""Experience Center For Water & Energy"", D.No:36/1, To 36/4, , G.N. Mulls (Post),"	Coimbarore -, Tamilnadu	641029
10	Aditya Green Energy Pvt Ltd	Pimpari-Chinchwad	Maharashtra	Mr. Amol Birajdar - 	9182121338	mail@adityagreenenergy.com	27AAJCA4909N1Z8	Block no:1, kapil plaza, Near udyog Bhavan, signal camp, - 	Latus, Maharashtra 	413512
11	Aditya Solar Solution	Mumbai	Maharashtra	Kapil - 90222 27221	Kapil - 90222 27221	"	adityasolarsolution@gmail.com"	27ABMFA7200R1ZZ	Aditya Solar Solution ,  C 303, Harsh Plaza Tower, Hatkesh,, Near Gcc Club, 	Miraroad , Malad East , Mumbai Maharashtra	401107
12	Agam Solar,	Chennai 	Tamil Nadu	Chockalingam	9444005319	agamenergy@gmail.com; alrm.chocks@gmail.com	33ALPPM2407D1ZF	Agam Solar, ,  Flat 3B, P 43, P Block,, 6th Avenue, 	Annanagar, Chennai - 	600040
13	Agam Solar,	Anna Nagar, Chennai	Tamil Nadu	M. Chockalingam 	9444005319	agamenergy@gmail.com	33ALPPM2407D1ZF	Mr.Chockalingam ,Agam Solar, ,Flat 3B, P 43, P Block, 6th Avenue, 	Anna Nagar, Chennai - 	600040
14	AGP Solar	Thiruvallur, Kanchipuram	Tamil Nadu	Mani-9698011086	8903648408	sparktanjore@gmail.com	33BFGPV9479E1ZV	AGP Solar ,  2/146 , PK Road, Kovur, Tiruvallur, 	 Chennai-	600128
15	Alfa Associates (TN)	Chennai 	Tamil Nadu	R. Narayanasamy /Mr. Rajakumar	 9600444114 / 7373333970		33ASGPS8061D1ZQ	R. Narayanasamy, Alfa Associates (TN), No.1, Maheswari Nagar, 150ft Bypass Road,Velacherry, Chennai - 600 042.    9600444114	,Velacherry, Chennai	600042
16	Alfa Projects & Services	Bhuvaneshwar	Odissa	Sushree Subhadra Swain	8637280207	pap@alfaindia.com	21AAICA3834D1Z8	"Plot No-352, Aerodrome Area,
"	Bhubaneswar - 	751020
