UI	Part Number	Description	Category	Supplier	Model	Min Qty	"Cable Length
(input in m)"	"Cable Length
(output in m)"	KW Rating	Act Wt(kg)	Vol Wt(kg)	Cal Wt 	Std Warranty(yrs)	Notes	Stock
001SESLF	SE3000H-IN000BNN4	Single Phase inverter, 3.0kW, HD-Wave, Inverters with SetApp configuration	On Grid Inverter 	SolarEdge	SE3000H				3	10	9.11		12		12
002SESLF	SE4000H-IN000BNN4	Single Phase inverter, 4.0kW, HD-Wave, Inverters with SetApp configuration	On Grid Inverter 	SolarEdge	SE4000H				4	13	9.11		12		43
003SESLF	SE5K-IN0TEBNN4	Three Phase Inverter, 5.0kW, Inverters with SetApp configuration	On Grid Inverter 	SolarEdge	SE5K				5	20.34	20		12		5
004SESLF	SE8K-IN0TEBNN4	Three Phase Inverter, 8.0kW, Inverters with SetApp configuration	On Grid Inverter 	SolarEdge	SE8K				8	21.88	20		12		67
005SESLF	SE10K-IN00RBNN4	Three Phase Inverter, 10.0kW, Inverters with SetApp configuration	On Grid Inverter 	SolarEdge	SE10K				10	21.88	20		5		456
006SESLF	SE17K-IN0T0BNN4	Three Phase Inverter, 17.0kW, Inverters with SetApp configuration	On Grid Inverter 	SolarEdge	SE17K				17	24.5	37		12		2
007SESLF	SE33.3K-IN001BNN4	Three Phase Inverter, 33.3kW, Inverters with SetApp configuration, includes RS485 SPD plug-in	On Grid Inverter 	SolarEdge	SE33.3K				33.3				12		34
008SESLF	SE55K-IN0P0BNU4	Three Phase Inverter with synergy technology, 55kW, DC Switch and MC4	On Grid Inverter 	SolarEdge	SE55K				55.2	46.18	50		12		5
009SESLF	SE66.6K-IN00IBNM4	Three Phase Inverter with Synergy Technology, Manager, 66.6kW, MC4 connectors, DC SPD	On Grid Inverter 	SolarEdge	SE66.6K				66.6				12		6
0010SESLF	SE82.8K-IN0P0BNU4	Three Phase Inverter with synergy technology, 82.8kW, DC Switch and MC4	On Grid Inverter 	SolarEdge	SE82.8K				82.8	46.18	53		12		7
0011SESLF	SE100K-IN00IBNM4	Three Phase Inverter with Synergy Technology, Manager, 100kW, MC4 connectors, DC SPD	On Grid Inverter 	SolarEdge	SE100K				100				12		8
0012SESLF	SESU-RW0S0NNN4	Three Phase Inverter with Synergy Technology, Unit	On Grid Inverter 	SolarEdge	SESU				27	24.5	44		12		9
0013SESLF	SE55K-INRP0BNU4	Three Phase Inverter with synergy technology, 55 kW, DC Switch and MC4 with Automatic Rapid Shutdown upon AC grid disconnect	On Grid Inverter 	SolarEdge	SE55K RSD				55	46.18	50		12		3
0014SESLF	SE82.8K-INRP0BNU4	Three Phase Inverter with synergy technology, 82.8kW, DC Switch and MC4 with Automatic Rapid Shutdown upon AC grid disconnect	On Grid Inverter 	SolarEdge	SE82.8K RSD				82.8	46.18	53		12		45
0015SESLF	SESU-RWRS0NNN4	Three Phase Inverter with Synergy Technology, Unit, with Automatic Rapid Shutdown upon AC grid disconnect	On Grid Inverter 	SolarEdge	SESU RSD				27	24.5	44		12		67
0016SESLF	SE5000-INS20NNB2	StorEdge single phase inverter, 5kW, inverters with a display	Hybrid Inverter	SolarEdge	SE5000-XXS				5				12		89
0017SESLF	SE6000- INS20NNB2	StorEdge single phase inverter, 6kW, inverters with a display	Hybrid Inverter	SolarEdge	SE6000-XXS				6				12		12
0018SESLF	RESU10H type-R	LG Chem Li-ion 9.8 kWh	Li ion battery	SolarEdge	Battery								10		34
